minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover,district
21.303,27.109,3.6,4.49,25.308000000000003,2.388,24.182,13.65,58.87600000000001,cluster_2
20.619,26.696,3.41,4.36,25.546,8.584,23.636,239.325,58.87600000000001,cluster_2
19.899,26.247,3.16,4.2,24.937,8.628,23.05,186.767,53.265,cluster_2
19.388,26.352,3.11,4.33,22.78,5.252000000000002,22.825,72.727,42.597,cluster_2
18.965,26.894,3.4,4.83,21.958,1.085,22.91800000000001,34.338,33.263000000000005,cluster_2
19.585,27.607,3.77,5.21,22.615,0.557,23.584,1.388,31.329,cluster_2
20.932,28.669,4.13,5.48,24.179,2.467,24.776,25.279,33.098,cluster_2
21.654,28.647,4.11,5.21,26.369,4.253,25.136,121.307,46.483,cluster_2
22.397,28.524,3.86,4.81,26.989,3.312,25.422,47.611,55.294,cluster_2
21.608,27.029,3.5,4.26,26.369,8.913,24.304,59.74,68.44,cluster_2
20.826,26.271,3.45,4.23,25.622,5.532,23.524,77.563,68.969,cluster_2
20.473,25.959,3.47,4.33,24.304,3.502,23.197,53.325,63.101000000000006,cluster_2
21.123,26.93,3.57,4.48,25.308000000000003,4.391,24.001,34.236,58.87600000000001,cluster_2
20.477,26.57800000000001,3.4,4.37,25.546,9.179,23.52,223.709,58.87600000000001,cluster_2
19.86,26.209,3.15,4.19,24.937,8.384,23.011,143.79399999999995,53.265,cluster_2
19.452,26.415,3.11,4.33,22.691,4.063,22.89,60.187,42.597,cluster_2
19.034,26.963,3.41,4.84,21.958,1.02,22.986,12.347,33.263000000000005,cluster_2
19.197,27.22,3.74,5.2,22.568,2.258,23.196,83.546,31.329,cluster_2
20.796,28.533,4.11,5.46,23.687,3.218,24.638,40.301,33.098,cluster_2
22.014,29.007,4.13,5.23,26.369,3.831,25.496,67.363,46.483,cluster_2
22.184,28.296,3.83,4.81,27.031,3.772,25.19400000000001,66.292,55.294,cluster_2
21.037,26.46,3.44,4.25,26.39,5.598,23.735,47.11,68.44,cluster_2
20.276,25.721,3.4,4.18,24.794,5.134,22.975,39.277,68.969,cluster_2
20.965,26.452,3.52,4.34,24.754,3.899,23.69,84.79899999999998,63.101000000000006,cluster_2
20.827,26.632,3.55,4.48,25.308000000000003,5.324,23.705,114.926,58.87600000000001,cluster_2
20.592,26.669,3.4,4.36,25.588,9.122,23.609,225.86900000000003,58.87600000000001,cluster_2
19.624,25.945,3.12,4.19,24.338,4.454,22.747,63.102,53.265,cluster_2
19.076,26.038,3.07,4.32,22.566,2.733,22.514,9.362,42.597,cluster_2
18.839,26.767,3.39,4.81,21.04,1.872,22.791,65.565,33.263000000000005,cluster_2
19.362,27.411,3.76,5.2,22.568,1.508,23.387,63.725,31.329,cluster_2
20.788,28.526,4.11,5.47,24.179,2.458,24.632,8.91,33.098,cluster_2
21.962,28.982,4.14,5.25,26.369,4.488,25.471,17.885,46.483,cluster_2
21.913,28.06900000000001,3.82,4.81,27.031,6.235,24.964,159.105,55.294,cluster_2
21.413,26.835,3.49,4.25,26.458,5.604,24.109,56.64,68.44,cluster_2
20.666,26.109,3.44,4.21,24.491,4.681,23.363000000000003,60.371,68.969,cluster_2
20.674,26.177,3.5,4.35,24.483,5.019,23.415,84.455,63.101000000000006,cluster_2
20.827,26.632,3.55,4.47,24.145,4.088,23.705,44.562,58.87600000000001,cluster_2
20.668000000000006,26.744,3.41,4.35,25.637,6.9179999999999975,23.684,117.102,58.87600000000001,cluster_2
19.936,26.284,3.16,4.2,24.922,8.026,23.086,115.831,53.265,cluster_2
19.548,26.511,3.12,4.33,22.796,2.637,22.986,21.531,42.597,cluster_2
19.118,27.048,3.42,4.84,21.958,1.608,23.071,39.122,33.263000000000005,cluster_2
19.598,27.62,3.78,5.21,22.573,2.574,23.596,32.596,31.329,cluster_2
20.755,28.49,4.11,5.49,23.527,1.045,24.597,6.897,33.098,cluster_2
21.72,28.712,4.11,5.21,26.369,3.648,25.201,77.967,46.483,cluster_2
22.322,28.476,3.86,4.82,27.031,2.915,25.374,44.403,55.294,cluster_2
21.257,26.679,3.46,4.25,26.39,6.742000000000001,23.954,106.261,68.44,cluster_2
20.583,26.028,3.44,4.21,25.622,6.938,23.281,109.574,68.969,cluster_2
20.626,26.113000000000003,3.49,4.35,25.259,6.604,23.35,201.562,63.101000000000006,cluster_2
20.618,26.446,3.55,4.49,25.308000000000003,3.318,23.519,32.596,58.87600000000001,cluster_2
20.355,26.431,3.39,4.32,25.546,8.539,23.372,253.952,58.87600000000001,cluster_2
20.159,26.479,3.17,4.2,24.937,8.111,23.309,166.017,53.265,cluster_2
19.267,26.23,3.1,4.33,22.193,1.236,22.70300000000001,3.52,42.597,cluster_2
19.077,27.007,3.41,4.84,21.958,1.192,23.03,4.66,33.263000000000005,cluster_2
19.279,27.32800000000001,3.75,5.2,21.837,0.889,23.304,3.005,31.329,cluster_2
20.96,28.698,4.13,5.47,24.179,1.643,24.804,4.998,33.098,cluster_2
21.957,28.976,4.14,5.23,26.369,2.5340000000000003,25.466,59.096,46.483,cluster_2
22.591,28.718000000000004,3.88,4.84,27.031,2.888,25.639,69.884,55.294,cluster_2
21.213,26.634,3.46,4.26,25.244,7.894,23.909,165.575,68.44,cluster_2
20.5,25.943,3.43,4.2,25.664,5.694,23.197,37.35,68.969,cluster_2
20.779,26.266,3.5,4.33,25.259,2.339,23.504,6.527,63.101000000000006,cluster_2
21.122,26.949,3.58,4.5,25.308000000000003,3.491,24.023000000000003,79.192,58.87600000000001,cluster_2
20.627,26.702,3.4,4.35,25.546,7.395,23.643,205.206,58.87600000000001,cluster_2
20.239,26.587,3.18,4.2,24.937,7.994,23.388,143.91,53.265,cluster_2
19.676,26.639,3.13,4.37,23.496,5.859,23.113000000000003,137.636,42.597,cluster_2
18.534,26.464,3.37,4.79,20.923,0.947,22.487,6.085,33.263000000000005,cluster_2
20.132,28.183000000000003,3.84,5.21,22.525,1.673,24.156,10.755999999999998,31.329,cluster_2
21.34,29.077,4.17,5.5,24.179,2.19,25.184,5.4110000000000005,33.098,cluster_2
22.391,29.411,4.18,5.26,26.369,4.402,25.901,101.342,46.483,cluster_2
22.301,28.455,3.85,4.85,26.989,3.79,25.353,153.385,55.294,cluster_2
21.246,26.66800000000001,3.47,4.25,26.39,9.379,23.943,264.768,68.44,cluster_2
21.013,26.457,3.48,4.21,25.664,3.736,23.71,23.025,68.969,cluster_2
20.922,26.409,3.51,4.36,25.238000000000003,3.458,23.647,73.976,63.101000000000006,cluster_2
21.028,26.855,3.57,4.5,25.308000000000003,4.104,23.928,77.527,58.87600000000001,cluster_2
20.784,26.861,3.42,4.36,25.546,9.649,23.801,468.177,58.87600000000001,cluster_2
20.069000000000006,26.388,3.16,4.2,24.937,7.93,23.191,156.23,53.265,cluster_2
19.182,26.145,3.09,4.33,22.813,3.056,22.619,48.258,42.597,cluster_2
18.715,26.645,3.4,4.8,21.272,2.079,22.66800000000001,15.313,33.263000000000005,cluster_2
19.84,27.862,3.8,5.21,22.615,1.5590000000000002,23.838,6.734,31.329,cluster_2
20.98,28.716,4.13,5.48,24.179,1.015,24.823,5.9670000000000005,33.098,cluster_2
22.359,29.351,4.17,5.24,26.369,2.384,25.867,30.101,46.483,cluster_2
22.788,28.942,3.91,4.84,27.057,2.832,25.84,31.097,55.294,cluster_2
21.904,27.326,3.53,4.29,26.405,5.715,24.601,87.41,68.44,cluster_2
20.811,26.255,3.45,4.21,25.664,7.5310000000000015,23.509,61.038,68.969,cluster_2
21.102,26.59,3.53,4.36,25.259,2.573,23.82800000000001,19.743,63.101000000000006,cluster_2
21.139,26.945,3.57,4.49,25.308000000000003,3.266,24.018,23.852,58.87600000000001,cluster_2
20.731,26.808000000000003,3.43,4.36,25.546,8.341000000000001,23.748,253.848,58.87600000000001,cluster_2
20.17,26.519,3.17,4.2,24.937,8.665,23.32,105.71,53.265,cluster_2
19.697,26.66,3.13,4.36,23.496,4.016,23.134,93.778,42.597,cluster_2
19.179,27.107,3.43,4.84,21.958,0.947,23.13,5.634,33.263000000000005,cluster_2
19.786,27.835,3.81,5.22,22.568,0.557,23.811,0.994,31.329,cluster_2
21.305,29.04300000000001,4.16,5.48,24.179,1.153,25.149,3.867,33.098,cluster_2
22.551,29.57,4.19,5.26,26.369,2.003,26.061,21.69,46.483,cluster_2
22.441,28.568,3.86,4.82,27.031,4.6960000000000015,25.466,111.993,55.294,cluster_2
21.927,27.34800000000001,3.54,4.26,26.417,5.102,24.622,44.493,68.44,cluster_2
21.35,26.79300000000001,3.5,4.25,25.711,2.955,24.046,59.217,68.969,cluster_2
21.124,26.612,3.53,4.36,25.259,3.462,23.849,32.51,63.101000000000006,cluster_2
21.37,27.173,3.6,4.51,25.308000000000003,4.31,24.246,42.239,58.87600000000001,cluster_2
20.609,26.686,3.41,4.34,25.546,11.192,23.626,403.42800000000005,58.87600000000001,cluster_2
20.579,26.927,3.21,4.22,24.937,7.033,23.728,131.972,53.265,cluster_2
19.655,26.618,3.13,4.35,23.496,5.205,23.091,181.711,42.597,cluster_2
19.551,27.478,3.47,4.84,21.958,1.332,23.501,11.618,33.263000000000005,cluster_2
20.25,28.274,3.84,5.25,22.568,1.923,24.248,15.808,31.329,cluster_2
21.218000000000004,28.95300000000001,4.15,5.49,24.179,0.976,25.06,7.518,33.098,cluster_2
22.31900000000001,29.311,4.17,5.24,26.369,4.627,25.802,69.248,46.483,cluster_2
22.678,28.817,3.89,4.81,27.522,4.32,25.715,38.715,55.294,cluster_2
22.171,27.593000000000004,3.55,4.3,26.369,6.256,24.869,260.645,68.44,cluster_2
20.912,26.356,3.47,4.22,25.664,7.21,23.61,43.244,68.969,cluster_2
21.285,26.769,3.54,4.36,25.238000000000003,3.25,24.00800000000001,59.01300000000001,63.101000000000006,cluster_2
21.096,26.923,3.58,4.5,25.308000000000003,5.8279999999999985,23.996,87.55,58.87600000000001,cluster_2
20.986,27.062,3.44,4.36,25.546,5.079,24.002,73.048,58.87600000000001,cluster_2
20.275,26.624,3.18,4.22,24.937,9.965,23.425,214.733,53.265,cluster_2
19.457,26.421,3.11,4.35,23.496,2.3040000000000003,22.895,61.769,42.597,cluster_2
18.95,26.879,3.4,4.83,21.577,0.18,22.902,0.179,33.263000000000005,cluster_2
19.729,27.778,3.8,5.22,22.541,1.004,23.754,8.857000000000003,31.329,cluster_2
21.235,28.97300000000001,4.16,5.48,23.776,1.864,25.08,5.683,33.098,cluster_2
22.599,29.592,4.19,5.25,26.369,4.273,26.109,51.33600000000001,46.483,cluster_2
22.572,28.684,3.86,4.84,27.057,4.755,25.581,124.54,55.294,cluster_2
21.162,26.584,3.46,4.25,26.417,6.723,23.86,115.512,68.44,cluster_2
20.979,26.425,3.48,4.21,25.622,9.616,23.678,174.835,68.969,cluster_2
21.15,26.654,3.53,4.37,25.259,5.184,23.891,45.387,63.101000000000006,cluster_2
20.8,26.606,3.55,4.49,25.308000000000003,4.816,23.679,82.053,58.87600000000001,cluster_2
20.334,26.409,3.39,4.33,25.588,6.087999999999999,23.35,165.71099999999996,58.87600000000001,cluster_2
20.112,26.431,3.17,4.2,24.937,6.409,23.234,141.09,53.265,cluster_2
18.9,25.863000000000003,3.07,4.33,22.559,2.541,22.338,29.071,42.597,cluster_2
18.8,26.729,3.4,4.81,21.799,1.5619999999999998,22.753,7.0870000000000015,33.263000000000005,cluster_2
19.56,27.581,3.77,5.22,22.568,1.852,23.557,41.995,31.329,cluster_2
20.228,27.964,4.06,5.44,23.459,4.009,24.071,53.736,33.098,cluster_2
22.116,29.136,4.15,5.23,26.369,3.064,25.624,19.435,46.483,cluster_2
22.045,28.158,3.82,4.8,27.015,4.144,25.056,119.737,55.294,cluster_2
21.177,26.6,3.46,4.23,26.39,7.7429999999999986,23.875,99.858,68.44,cluster_2
21.25,26.695,3.49,4.21,25.711,7.52,23.948,30.721,68.969,cluster_2
21.059,26.547,3.52,4.37,25.274,3.992,23.785,81.056,63.101000000000006,cluster_2
20.603,26.409,3.54,4.49,25.308000000000003,6.151,23.483,69.756,58.87600000000001,cluster_2
20.216,26.292,3.39,4.32,25.494,6.589,23.234,51.334,58.87600000000001,cluster_2
19.91,26.257,3.16,4.21,24.937,8.79,23.059,148.386,53.265,cluster_2
18.774,25.735,3.05,4.33,22.207,4.47,22.211,39.122,42.597,cluster_2
18.461,26.388,3.35,4.82,21.133000000000006,2.366,22.412,69.188,33.263000000000005,cluster_2
18.627,26.649,3.68,5.16,21.278,1.5019999999999998,22.625,20.604,31.329,cluster_2
20.48,28.215,4.08,5.42,23.619,2.256,24.323,74.726,33.098,cluster_2
22.019,29.039,4.14,5.25,26.369,3.013,25.528,21.073,46.483,cluster_2
