minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
21.756,33.858,5.41,7.08,22.798,1.381,27.792,8.296,27.072
25.445,36.695,5.89,7.17,26.995,1.35,31.08,51.676,39.074
24.498,35.301,5.7,6.99,28.485,4.431,29.885,103.063,49.572
24.349,33.775,5.2,6.16,27.676,1.843,29.028,55.651,70.403
22.902,31.872,4.92,5.77,26.593,4.681,27.391,54.86,78.679
23.091,32.096,4.93,5.89,27.558,4.687,27.549,38.682,71.541
22.799,32.145,4.84,5.95,27.521,6.073,27.456,151.502,63.799
22.848,31.572,4.3,5.48,26.992,10.538,27.205,120.653,60.551
21.168,29.844,3.74,5.14,24.256,2.593,25.496,5.878,51.31
19.622,28.815,3.5,5.08,22.039,1.312,24.179,3.156,40.293
19.64,30.36,3.96,5.7,20.677,2.412,24.965,26.794,29.33
20.568,32.289,4.71,6.47,22.116,1.266,26.395,4.874,25.552
22.715,34.837,5.52,7.16,24.006,0.003,28.751,0.003,27.072
24.478,35.727,5.77,7.17,26.615,4.038,30.113,105.38,39.074
24.039,34.864,5.64,6.95,28.507,7.811,29.428,103.206,49.572
23.97,33.397,5.15,6.13,27.445,3.656,28.649,37.916,70.403
22.89,31.86,4.91,5.76,27.188,4.54,27.369,50.01,78.679
22.97,31.976,4.91,5.89,27.567,8.149,27.426,178.029,71.541
22.261,31.608,4.79,5.93,27.22,6.953,26.919,121.714,63.799
22.789,31.514,4.31,5.44,26.992,6.873,27.148,247.56,60.551
22.068,30.743,3.83,5.14,24.745,2.591,26.395,9.995,51.31
20.812,29.986,3.6,5.15,22.874,0.922,25.35,2.009,40.293
19.738,30.462,3.98,5.74,21.429,0.019,25.065,0.039,29.33
20.231,31.943,4.68,6.47,21.726,1.726,26.095,19.973,25.552
22.363,34.483,5.5,7.13,22.726,0.003,28.399,0.003,27.072
24.856,36.105,5.82,7.13,26.995,2.41,30.469,18.954,39.074
25.181,35.984,5.77,7.01,28.554,3.811,30.596,50.984,49.572
24.06,33.485,5.17,6.15,27.589,3.533,28.739,42.504,70.403
23.37,32.349,4.96,5.81,27.18,6.671,27.859,176.198,78.679
22.648,31.696,4.9,5.9,27.567,7.542,27.149,120.896,71.541
22.153,31.5,4.79,5.93,27.521,6.661,26.811,43.968,63.799
22.399,31.124,4.27,5.45,26.992,10.914,26.759,279.438,60.551
20.721,29.395,3.7,5.13,24.513,5.319,25.047,138.163,51.31
19.429,28.65,3.49,5.07,22.219,0.573,24.013,0.572,40.293
19.58,30.302,3.96,5.73,21.427,0.17,24.906,0.17,29.33
19.341,31.052,4.58,6.41,20.948,0.162,25.158,0.243,25.552
22.236,34.337,5.48,7.1,24.006,1.223,28.272,41.036,27.072
24.574,35.825,5.78,7.14,26.919,2.062,30.189,39.754,39.074
24.312,35.163,5.69,6.99,28.507,4.333,29.748,89.817,49.572
23.632,33.059,5.12,6.12,27.548,3.967,28.358,37.282,70.403
23.101,32.071,4.93,5.76,27.18,6.264,27.58,53.431,78.679
23.143,32.149,4.95,5.87,27.567,3.195,27.601,33.006,71.541
23.411,32.767,4.93,6.01,27.521,6.556,28.1,72.763,63.799
22.458,31.184,4.27,5.45,26.992,8.045,26.816,192.58,60.551
21.61,30.285,3.79,5.14,25.055,5.615,25.938,66.24,51.31
20.165,29.406,3.56,5.15,22.906,3.227,24.77,35.144,40.293
19.009,29.73,3.92,5.67,20.894,0.286,24.334,0.611,29.33
21.299,33.057,4.8,6.49,22.116,0.794,27.162,0.9,25.552
