minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover,district
23.138,30.1,3.34,4.89,26.198,1.162,26.619,5.4060000000000015,33.243,cluster_0
23.518,31.171,3.91,5.52,25.238000000000003,2.643,27.33,55.172,28.244,cluster_0
23.81900000000001,31.77,4.4,5.99,27.108,1.165,27.759,21.28,29.54300000000001,cluster_0
25.69,33.27,4.68,5.93,30.679,1.136,29.5,17.529,40.743,cluster_0
26.83,35.522,5.22,6.22,32.078,1.875,31.141,28.601,52.044,cluster_0
26.93,35.832,5.29,6.06,29.738000000000003,1.266,31.381,33.528,69.158,cluster_0
25.96,34.552,5.09,5.83,29.038,1.685,30.24,24.672,76.3,cluster_0
25.33,33.892,5.01,5.87,29.949,4.002,29.611,79.308,70.387,cluster_0
25.089,33.21,4.69,5.69,30.079,6.465,29.1,192.175,64.157,cluster_0
24.72,31.829,4.0,5.07,29.478,5.6629999999999985,28.259,60.668,61.657,cluster_0
23.19,29.6,3.3,4.54,27.638,10.45,26.36,222.65,54.157,cluster_0
22.278,28.329,2.95,4.32,25.738000000000003,5.001,25.289,190.294,44.157,cluster_0
22.09800000000001,28.99,3.26,4.84,24.698,4.615,25.579,93.234,33.243,cluster_0
21.59,29.271,3.75,5.44,24.037,2.352,25.43,30.323,28.244,cluster_0
23.889,31.84,4.41,5.93,27.407,1.216,27.829,13.483,29.54300000000001,cluster_0
26.389,33.97,4.73,5.95,30.579,0.23,30.13,0.231,40.743,cluster_0
27.13,35.86199999999999,5.27,6.27,32.078,2.283,31.482,64.791,52.044,cluster_0
26.93,35.832,5.29,6.07,29.738000000000003,2.224,31.381,24.955,69.158,cluster_0
25.901,34.522,5.1,5.84,29.038,3.235,30.211,46.957,76.3,cluster_0
25.389,33.952,5.01,5.88,30.149,4.189,29.671,91.108,70.387,cluster_0
25.018,33.14,4.68,5.71,30.079,5.033,29.03,151.158,64.157,cluster_0
23.889,31.0,3.93,5.04,29.378,11.093,27.43,214.866,61.657,cluster_0
23.19,29.6,3.3,4.51,27.438,10.142,26.36,260.379,54.157,cluster_0
22.778,28.829,2.98,4.32,26.068,6.7189999999999985,25.789,260.874,44.157,cluster_0
22.538,29.43,3.28,4.82,24.698,1.901,26.019,45.49,33.243,cluster_0
23.349,31.0,3.89,5.49,25.238000000000003,1.825,27.159,9.978,28.244,cluster_0
24.019,32.04,4.44,6.0,27.07800000000001,0.2,28.03,0.2,29.54300000000001,cluster_0
26.219,33.8,4.72,5.96,30.679,0.26,30.029,0.26,40.743,cluster_0
26.419,35.081,5.16,6.23,32.078,4.393,30.7,176.608,52.044,cluster_0
