minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover,district
0.44680392368222516,0.288481566340346,0.184,0.25490196078431354,0.40492531287848177,0.0849725776965265,0.34948172394980886,0.008300067555118838,0.265103658795099,cluster_0
0.4877654414142505,0.4000208289939595,0.4120000000000001,0.5019607843137253,0.32741219216794504,0.19327239488116998,0.42705946535733735,0.08470797764539703,0.1944573988496488,cluster_0
0.5202112751967243,0.46240366590293686,0.6080000000000002,0.6862745098039216,0.47840129188534486,0.08519195612431445,0.4738679759956354,0.03267211201866978,0.21281496869744645,cluster_0
0.7218928532930906,0.6186211205998753,0.72,0.6627450980392156,0.7667339523617274,0.08307129798903107,0.6638297872340423,0.026913038137935268,0.37109424683088144,cluster_0
0.8447774064891667,0.8531555925848778,0.9359999999999999,0.776470588235294,0.8796931772305207,0.13711151736745886,0.8428805237315871,0.04391236258674691,0.5308008648831983,cluster_0
0.8555567532607524,0.8854405332222453,0.9640000000000001,0.7137254901960782,0.6907549454985868,0.09257769652650823,0.8690671031096561,0.051477000552723695,0.7726572547024492,cluster_0
0.7509970895763718,0.752134971880858,0.884,0.6235294117647059,0.6342349616471534,0.12321755027422303,0.7445717403164207,0.03787999754345022,0.8735885586693235,cluster_0
0.683087204915382,0.6833992918142056,0.852,0.6392156862745098,0.7077916834880902,0.2926508226691042,0.6759410801963992,0.12176503101394093,0.7900255790619126,cluster_0
0.6571089791958606,0.6123724224119975,0.7240000000000002,0.5686274509803922,0.718288251917642,0.4727605118829981,0.6201854882705946,0.2950546582325124,0.7019827306001893,cluster_0
0.6173331896087096,0.4685482191210165,0.44800000000000006,0.32549019607843144,0.669761808639483,0.41411334552102363,0.5284233496999453,0.09314622612540686,0.6666525345882619,cluster_0
0.45240918400344965,0.2364090814413666,0.16799999999999998,0.11764705882352935,0.5211949939442873,0.7641681901279707,0.32122204037097635,0.34184425474421176,0.5606619465524795,cluster_0
0.3541015414465883,0.104040824828161,0.028000000000000115,0.03137254901960787,0.367783609204683,0.3657038391224863,0.20436442989634485,0.2921666769022907,0.41934116250476955,cluster_0
0.3346987172577353,0.1728806498646115,0.15199999999999997,0.2352941176470587,0.2838110617682678,0.33747714808043877,0.23600654664484447,0.14314622612540684,0.265103658795099,cluster_0
0.2799396356580792,0.20214538637783813,0.34800000000000003,0.47058823529411775,0.23044004844570007,0.1719926873857404,0.21974904528096004,0.04655622428299453,0.1944573988496488,cluster_0
0.527756817936833,0.469693813788794,0.6120000000000001,0.6627450980392156,0.5025433992733142,0.08892138939670932,0.4815057283142388,0.02070103789228029,0.21281496869744645,cluster_0
0.7972404872264741,0.691522599458446,0.7400000000000002,0.6705882352941177,0.75865966895438,0.016819012797074952,0.7325695581014726,0.00035466437388687586,0.37109424683088144,cluster_0
0.8771154468039236,0.8885648823161827,0.9559999999999998,0.7960784313725489,0.8796931772305207,0.1669469835466179,0.8800872885979265,0.09947644782902412,0.5308008648831983,cluster_0
0.8555567532607524,0.8854405332222453,0.9640000000000001,0.7176470588235295,0.6907549454985868,0.1626325411334552,0.8690671031096561,0.038314499785051886,0.7726572547024492,cluster_0
0.7446372749811362,0.7490106227869191,0.8879999999999999,0.6274509803921567,0.6342349616471534,0.236563071297989,0.7414075286415708,0.07209512989006939,0.8735885586693235,cluster_0
0.6894470195106177,0.6896479900020827,0.852,0.6431372549019607,0.7239402503027853,0.3063254113345521,0.6824877250409163,0.13988208561075968,0.7900255790619126,cluster_0
0.649455642988035,0.6050822745261404,0.72,0.5764705882352941,0.718288251917642,0.3680438756855576,0.6125477359519912,0.23207946938524837,0.7019827306001893,cluster_0
0.527756817936833,0.38221203915850865,0.4200000000000001,0.31372549019607837,0.6616875252321353,0.8111882998171845,0.43797054009819947,0.32989314008475096,0.6666525345882619,cluster_0
0.45240918400344965,0.2364090814413666,0.16799999999999998,0.10588235294117632,0.5050464271295918,0.7416453382084094,0.32122204037097635,0.3997712338021249,0.5606619465524795,cluster_0
0.4079982753045165,0.15611330972714035,0.040000000000000036,0.03137254901960787,0.39442874444892995,0.4913345521023765,0.2589198036006547,0.40053122888902537,0.41934116250476955,cluster_0
0.38212784305271114,0.21870443657571345,0.15999999999999998,0.22745098039215692,0.2838110617682678,0.1390127970749543,0.2840152755046369,0.06984278081434625,0.265103658795099,cluster_0
0.4695483453702707,0.38221203915850865,0.4040000000000001,0.4901960784313726,0.32741219216794504,0.13345521023765997,0.40840152755046344,0.015319658539581157,0.1944573988496488,cluster_0
0.5417699687398942,0.49052280774838564,0.6240000000000002,0.6901960784313725,0.4759790068631414,0.014625228519195612,0.5034369885433715,0.00030706872197997913,0.21281496869744645,cluster_0
0.7789155977147787,0.6738179545927928,0.736,0.6745098039215686,0.7667339523617274,0.019012797074954294,0.7215493726132022,0.00039918933857397283,0.37109424683088144,cluster_0
0.8004742912579499,0.8072276609039785,0.9120000000000001,0.7803921568627452,0.8796931772305207,0.3212431444241316,0.7947626841243859,0.27115396425720073,0.5308008648831983,cluster_0
0.8080198339980599,0.8396167465111437,0.9440000000000002,0.6980392156862744,0.6907549454985868,0.15875685557586836,0.8209492635024549,0.06292912853896702,0.7726572547024492,cluster_0
0.7370917322410262,0.7416163299312643,0.884,0.6235294117647059,0.6342349616471534,0.22837294332723948,0.7337697763229674,0.08988055026714978,0.8735885586693235,cluster_0
