model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.011404,0.106784,0.077869,0.053802,0.702526,0.702526
polynomial_regression,2,0.010545,0.102685,0.074637,0.054354,0.72492,0.72492
polynomial_regression,3,0.00916,0.095704,0.068749,0.047747,0.76104,0.76104
polynomial_regression,4,0.008543,0.086334,0.061425,0.042275,0.777614,0.777592
decision_tree_regression,2,0.013141,0.114632,0.083536,0.056086,0.657192,0.657192
decision_tree_regression,3,0.011403,0.106779,0.076165,0.052361,0.70255,0.70255
decision_tree_regression,4,0.010042,0.100202,0.070539,0.047678,0.738031,0.738031
decision_tree_regression,5,0.0088,0.093802,0.065378,0.043812,0.770445,0.770445
decision_tree_regression,6,0.007544,0.086848,0.059994,0.040068,0.803176,0.803176
decision_tree_regression,7,0.006189,0.078652,0.052827,0.033074,0.838544,0.838544
support_vector_regression,linear,0.011514,0.107297,0.079426,0.058665,0.700494,0.699651
support_vector_regression,poly,0.011503,0.107247,0.083059,0.073098,0.705296,0.699931
support_vector_regression,rbf,0.011045,0.105091,0.082878,0.071314,0.719661,0.711871
