model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.00423,0.065039,0.043667,0.029372,0.740824,0.740824
polynomial_regression,2,0.003326,0.057673,0.037432,0.023115,0.796203,0.796203
polynomial_regression,3,0.002925,0.054082,0.034126,0.019978,0.820794,0.820794
polynomial_regression,4,0.002709,0.05205,0.032947,0.019242,0.83401,0.83401
decision_tree_regression,2,0.005591,0.074771,0.049536,0.028911,0.657457,0.657457
decision_tree_regression,3,0.004791,0.069215,0.044056,0.026167,0.706468,0.706468
decision_tree_regression,4,0.004393,0.066276,0.041556,0.024122,0.730872,0.730872
decision_tree_regression,5,0.004157,0.064476,0.040406,0.02374,0.74529,0.74529
decision_tree_regression,6,0.003933,0.062715,0.039334,0.023061,0.759012,0.759012
decision_tree_regression,7,0.003688,0.060728,0.038169,0.02247,0.774044,0.774044
support_vector_regression,linear,0.004386,0.066228,0.046376,0.033211,0.736665,0.731263
support_vector_regression,poly,0.004951,0.070361,0.056295,0.052061,0.749106,0.696672
support_vector_regression,rbf,0.004369,0.066099,0.053445,0.049446,0.783165,0.732298
