model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.007722,0.087872,0.062497,0.04337,0.772297,0.772297
polynomial_regression,2,0.006181,0.078615,0.053311,0.031646,0.817732,0.817732
polynomial_regression,3,0.005179,0.071963,0.049094,0.030475,0.847273,0.847273
polynomial_regression,4,0.003751,0.061111,0.043464,0.030422,0.889396,0.889394
decision_tree_regression,2,0.00869,0.093213,0.065928,0.038446,0.743786,0.743786
decision_tree_regression,3,0.006869,0.082876,0.056497,0.035834,0.797462,0.797462
decision_tree_regression,4,0.005727,0.075669,0.050494,0.031114,0.83112,0.83112
decision_tree_regression,5,0.004976,0.070532,0.046609,0.028058,0.853277,0.853277
decision_tree_regression,6,0.004212,0.064891,0.042186,0.024532,0.875798,0.875798
decision_tree_regression,7,0.003509,0.059214,0.037363,0.020693,0.896535,0.896535
support_vector_regression,linear,0.008021,0.089555,0.065484,0.050727,0.766787,0.763496
support_vector_regression,poly,0.00758,0.087059,0.067049,0.056454,0.781027,0.776478
support_vector_regression,rbf,0.007306,0.085473,0.06714,0.058995,0.797674,0.784536
