model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.007884,0.088788,0.062493,0.044676,0.688125,0.688125
polynomial_regression,2,0.006727,0.082014,0.056614,0.040457,0.733865,0.733865
polynomial_regression,3,0.006345,0.077891,0.055103,0.038858,0.749256,0.749159
polynomial_regression,4,0.019845,0.115259,0.084488,0.063096,0.215012,0.214639
decision_tree_regression,2,0.00938,0.096847,0.070714,0.05219,0.628917,0.628917
decision_tree_regression,3,0.007931,0.089051,0.063082,0.046141,0.686266,0.686266
decision_tree_regression,4,0.006647,0.081521,0.057686,0.041824,0.737059,0.737059
decision_tree_regression,5,0.00552,0.074286,0.052117,0.03657,0.781627,0.781627
decision_tree_regression,6,0.004568,0.067574,0.046754,0.032313,0.819303,0.819303
decision_tree_regression,7,0.003703,0.060829,0.041234,0.027729,0.853509,0.853509
support_vector_regression,linear,0.008057,0.08975,0.065226,0.048467,0.683946,0.681305
support_vector_regression,poly,0.007624,0.08731,0.067839,0.060666,0.712338,0.698384
support_vector_regression,rbf,0.007517,0.086695,0.066822,0.056907,0.714281,0.702613
