model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.002795,0.05285,0.029413,0.017327,0.829851,0.829851
polynomial_regression,2,0.002222,0.047129,0.023913,0.010758,0.864665,0.864665
polynomial_regression,3,0.002066,0.045395,0.025966,0.01466,0.874225,0.874221
polynomial_regression,4,0.001194,0.034445,0.022254,0.014778,0.927235,0.927232
decision_tree_regression,2,0.003509,0.059223,0.036571,0.018016,0.786321,0.786321
decision_tree_regression,3,0.002513,0.050113,0.027757,0.012963,0.84699,0.84699
decision_tree_regression,4,0.001907,0.043649,0.023837,0.010817,0.883812,0.883812
decision_tree_regression,5,0.001489,0.038569,0.020852,0.009196,0.909261,0.909261
decision_tree_regression,6,0.001156,0.033973,0.018261,0.008118,0.929582,0.929582
decision_tree_regression,7,0.000818,0.028535,0.015336,0.006568,0.950225,0.950225
support_vector_regression,linear,0.003235,0.056857,0.036373,0.026478,0.804214,0.802979
support_vector_regression,poly,0.003005,0.054777,0.03697,0.027265,0.825561,0.81688
support_vector_regression,rbf,0.005215,0.072211,0.059164,0.062131,0.781755,0.682106
