model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.006913,0.08313,0.054157,0.034116,0.643001,0.643001
polynomial_regression,2,0.006485,0.080512,0.052325,0.033811,0.665124,0.665124
polynomial_regression,3,0.005694,0.075437,0.048784,0.03116,0.705991,0.705991
polynomial_regression,4,0.003761,0.061306,0.039916,0.026405,0.805758,0.805758
decision_tree_regression,2,0.007814,0.088386,0.060423,0.037967,0.596451,0.596451
decision_tree_regression,3,0.006936,0.08327,0.054816,0.036552,0.641802,0.641802
decision_tree_regression,4,0.006219,0.078843,0.051665,0.034483,0.67883,0.67883
decision_tree_regression,5,0.005345,0.073086,0.047683,0.031262,0.723956,0.723956
decision_tree_regression,6,0.004474,0.066847,0.043578,0.027779,0.769003,0.769003
decision_tree_regression,7,0.003529,0.059349,0.038405,0.023488,0.817773,0.817773
support_vector_regression,linear,0.007619,0.087275,0.064083,0.052389,0.624017,0.606493
support_vector_regression,poly,0.00764,0.08739,0.064197,0.055545,0.623866,0.605442
support_vector_regression,rbf,0.00795,0.08915,0.067904,0.06126,0.617411,0.589443
