model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.003233,0.056858,0.040699,0.031318,0.899797,0.899797
polynomial_regression,2,0.001811,0.042546,0.027421,0.017795,0.943875,0.943875
polynomial_regression,3,0.001375,0.037062,0.023452,0.014812,0.957401,0.957401
polynomial_regression,4,0.000804,0.02821,0.019357,0.013156,0.975119,0.975118
decision_tree_regression,2,0.005215,0.072202,0.050267,0.035588,0.838399,0.838399
decision_tree_regression,3,0.003312,0.057548,0.038071,0.023351,0.897343,0.897343
decision_tree_regression,4,0.002222,0.04713,0.031398,0.019882,0.931125,0.931125
decision_tree_regression,5,0.001623,0.040275,0.02644,0.016109,0.949708,0.949708
decision_tree_regression,6,0.00117,0.034199,0.022173,0.013391,0.963735,0.963735
decision_tree_regression,7,0.000846,0.029079,0.018356,0.010493,0.973768,0.973768
support_vector_regression,linear,0.003771,0.061405,0.046447,0.038707,0.884349,0.883135
support_vector_regression,poly,0.003433,0.058588,0.045266,0.039455,0.895551,0.893588
support_vector_regression,rbf,0.003453,0.058742,0.047844,0.04427,0.915704,0.892967
