model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.004756,0.06896,0.04796,0.03486,0.824739,0.824739
polynomial_regression,2,0.003194,0.056514,0.036909,0.023178,0.882274,0.882274
polynomial_regression,3,0.002869,0.053504,0.035784,0.022918,0.894261,0.894259
polynomial_regression,4,0.002079,0.045249,0.031739,0.022276,0.923413,0.92341
decision_tree_regression,2,0.006946,0.083331,0.0551,0.028299,0.744017,0.744017
decision_tree_regression,3,0.004827,0.06947,0.04377,0.024615,0.822105,0.822105
decision_tree_regression,4,0.003615,0.060105,0.036979,0.020213,0.866775,0.866775
decision_tree_regression,5,0.002712,0.052062,0.032716,0.019312,0.900037,0.900037
decision_tree_regression,6,0.002041,0.045157,0.028474,0.016576,0.924775,0.924775
decision_tree_regression,7,0.001465,0.038265,0.023971,0.013596,0.945986,0.945986
support_vector_regression,linear,0.005324,0.072959,0.054042,0.045988,0.807303,0.803807
support_vector_regression,poly,0.004851,0.069646,0.053376,0.045603,0.829807,0.821216
support_vector_regression,rbf,0.004861,0.069718,0.055497,0.050993,0.846578,0.820828
