model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.001212,0.034816,0.020787,0.013012,0.776263,0.776263
polynomial_regression,2,0.001067,0.032667,0.019206,0.011348,0.803027,0.803027
polynomial_regression,3,0.001001,0.031646,0.018653,0.011021,0.815154,0.815154
polynomial_regression,4,0.000917,0.030284,0.017948,0.010536,0.830715,0.830715
decision_tree_regression,2,0.001616,0.040199,0.025375,0.016399,0.70174,0.70174
decision_tree_regression,3,0.001235,0.035146,0.021255,0.012894,0.772002,0.772002
decision_tree_regression,4,0.001095,0.033094,0.019722,0.011443,0.797841,0.797841
decision_tree_regression,5,0.000997,0.031574,0.018835,0.011068,0.815987,0.815987
decision_tree_regression,6,0.000904,0.030073,0.018191,0.010849,0.833068,0.833068
decision_tree_regression,7,0.000811,0.028483,0.017396,0.010379,0.850238,0.850238
support_vector_regression,linear,0.00149,0.038595,0.026906,0.020834,0.733104,0.725036
support_vector_regression,poly,0.002991,0.054662,0.045619,0.044408,0.654493,0.448014
support_vector_regression,rbf,0.002946,0.054266,0.046218,0.045132,0.717303,0.456108
