model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.004321,0.065728,0.045971,0.034569,0.8434,0.8434
polynomial_regression,2,0.002723,0.05217,0.033846,0.020574,0.901279,0.901278
polynomial_regression,3,0.002775,0.051061,0.033222,0.02029,0.899344,0.899336
polynomial_regression,4,0.003135,0.053333,0.03921,0.029236,0.886806,0.886791
decision_tree_regression,2,0.005849,0.07647,0.051117,0.031185,0.788026,0.788026
decision_tree_regression,3,0.003848,0.062018,0.039195,0.022938,0.860572,0.860572
decision_tree_regression,4,0.00282,0.053091,0.033195,0.019552,0.897807,0.897807
decision_tree_regression,5,0.002118,0.046016,0.028926,0.016985,0.923222,0.923222
decision_tree_regression,6,0.001615,0.040169,0.025459,0.014963,0.941475,0.941475
decision_tree_regression,7,0.001169,0.034183,0.021375,0.012273,0.957611,0.957611
support_vector_regression,linear,0.004753,0.068936,0.050565,0.041743,0.828926,0.827744
support_vector_regression,poly,0.004306,0.065609,0.050128,0.041836,0.857166,0.84393
support_vector_regression,rbf,0.004825,0.069454,0.057434,0.054972,0.863419,0.825072
