model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.000439,0.020958,0.011263,0.005218,0.823506,0.823506
polynomial_regression,2,0.000383,0.019572,0.009859,0.003967,0.84608,0.84608
polynomial_regression,3,0.000356,0.018861,0.009363,0.003354,0.857062,0.857062
polynomial_regression,4,0.000329,0.018136,0.009006,0.003041,0.867834,0.867834
decision_tree_regression,2,0.000677,0.026021,0.013776,0.003593,0.727927,0.727927
decision_tree_regression,3,0.000486,0.022048,0.010692,0.002991,0.804674,0.804674
decision_tree_regression,4,0.000428,0.020679,0.009839,0.002851,0.828167,0.828167
decision_tree_regression,5,0.000388,0.019709,0.009497,0.002705,0.843908,0.843908
decision_tree_regression,6,0.000359,0.018958,0.009227,0.002567,0.855572,0.855572
decision_tree_regression,7,0.000331,0.018186,0.008951,0.002496,0.867099,0.867099
support_vector_regression,linear,0.003365,0.057999,0.049273,0.046766,-0.311914,-0.35207
support_vector_regression,poly,0.00256,0.050552,0.044454,0.049986,0.458456,-0.028934
support_vector_regression,rbf,0.004288,0.06548,0.057245,0.050458,0.476154,-0.723073
