model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.004244,0.065139,0.045957,0.033167,0.827685,0.827685
polynomial_regression,2,0.003021,0.054947,0.036585,0.023727,0.877309,0.877309
polynomial_regression,3,0.002575,0.050735,0.033546,0.021726,0.895438,0.895437
polynomial_regression,4,0.00345,0.057016,0.042387,0.03232,0.859836,0.859821
decision_tree_regression,2,0.005336,0.073042,0.051245,0.038328,0.783313,0.783313
decision_tree_regression,3,0.003841,0.061964,0.04164,0.024752,0.844061,0.844061
decision_tree_regression,4,0.002942,0.054237,0.036304,0.023782,0.880515,0.880515
decision_tree_regression,5,0.002304,0.047989,0.032089,0.021061,0.906452,0.906452
decision_tree_regression,6,0.001819,0.042646,0.028684,0.019214,0.926111,0.926111
decision_tree_regression,7,0.001421,0.037686,0.024918,0.016147,0.942275,0.942275
support_vector_regression,linear,0.004613,0.067909,0.048342,0.034331,0.812977,0.812719
support_vector_regression,poly,0.004672,0.068344,0.053391,0.046534,0.823378,0.810219
support_vector_regression,rbf,0.004709,0.068607,0.057245,0.056258,0.84664,0.8087
