model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.006234,0.078953,0.05569,0.039742,0.784827,0.784827
polynomial_regression,2,0.004949,0.070346,0.047469,0.029691,0.829187,0.829187
polynomial_regression,3,0.00438,0.066178,0.044137,0.026304,0.848824,0.848824
polynomial_regression,4,0.003851,0.062055,0.041626,0.025519,0.867074,0.867074
decision_tree_regression,2,0.007634,0.087371,0.060718,0.035571,0.736496,0.736496
decision_tree_regression,3,0.006134,0.078319,0.052172,0.032748,0.788271,0.788271
decision_tree_regression,4,0.005165,0.071865,0.047179,0.028887,0.821727,0.821727
decision_tree_regression,5,0.004615,0.067936,0.044659,0.027327,0.840688,0.840688
decision_tree_regression,6,0.004143,0.064362,0.042347,0.026089,0.857008,0.857008
decision_tree_regression,7,0.003587,0.05989,0.039285,0.0244,0.876181,0.876181
support_vector_regression,linear,0.006452,0.080324,0.058646,0.046539,0.77888,0.777294
support_vector_regression,poly,0.005897,0.076792,0.059986,0.053077,0.809968,0.796438
support_vector_regression,rbf,0.006032,0.077666,0.063126,0.059654,0.814803,0.791772
