model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.002773,0.05266,0.035016,0.02457,0.792876,0.792876
polynomial_regression,2,0.001986,0.044559,0.028948,0.018361,0.8517,0.8517
polynomial_regression,3,0.001696,0.041184,0.02602,0.015004,0.873313,0.873313
polynomial_regression,4,0.001518,0.038965,0.02502,0.014828,0.886596,0.886596
decision_tree_regression,2,0.003577,0.059808,0.038679,0.023093,0.732835,0.732835
decision_tree_regression,3,0.002782,0.052747,0.03269,0.018967,0.792195,0.792195
decision_tree_regression,4,0.002262,0.047563,0.029174,0.016642,0.83103,0.83103
decision_tree_regression,5,0.001948,0.044138,0.027456,0.016141,0.854486,0.854486
decision_tree_regression,6,0.001717,0.041433,0.026088,0.015424,0.871777,0.871777
decision_tree_regression,7,0.001512,0.038886,0.024725,0.014718,0.887052,0.887052
support_vector_regression,linear,0.00305,0.055225,0.040285,0.03146,0.772265,0.772208
support_vector_regression,poly,0.003062,0.055336,0.044446,0.040604,0.808602,0.771267
support_vector_regression,rbf,0.003303,0.057464,0.048001,0.045972,0.821621,0.753327
