model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.005882,0.076691,0.056355,0.042193,0.774496,0.774496
polynomial_regression,2,0.005269,0.072581,0.052063,0.035793,0.79802,0.79802
polynomial_regression,3,0.00471,0.068625,0.048986,0.03375,0.819431,0.819431
polynomial_regression,4,0.003049,0.055208,0.038664,0.025627,0.883125,0.883125
decision_tree_regression,2,0.007233,0.085045,0.063142,0.046205,0.722684,0.722684
decision_tree_regression,3,0.005707,0.07554,0.0543,0.037834,0.781214,0.781214
decision_tree_regression,4,0.004952,0.070365,0.05005,0.035494,0.810137,0.810137
decision_tree_regression,5,0.004319,0.065716,0.046232,0.031688,0.834407,0.834407
decision_tree_regression,6,0.003707,0.060873,0.042193,0.028653,0.857905,0.857905
decision_tree_regression,7,0.003058,0.055276,0.037332,0.024047,0.882774,0.882774
support_vector_regression,linear,0.005993,0.077409,0.057841,0.043828,0.772769,0.770256
support_vector_regression,poly,0.006597,0.081215,0.065129,0.058719,0.764282,0.747081
support_vector_regression,rbf,0.006703,0.08187,0.068104,0.06648,0.772225,0.743004
